AIC,Params,Seasonal_Params,Model
1365.0048203797164,"(0, 0, 2)","(4, 1, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec4a10550>
1365.0322737606048,"(0, 0, 2)","(1, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90078ff130>
1367.0007819163613,"(0, 0, 2)","(2, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8faf8d85b0>
1367.0009133147737,"(0, 0, 2)","(4, 1, 2, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec74214f0>
1367.0011352989288,"(0, 0, 2)","(3, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8f1745ee20>
1369.000937937169,"(0, 0, 2)","(3, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ef1b10520>
1369.0009637704045,"(0, 0, 2)","(4, 1, 3, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8ec74409a0>
1371.000926540851,"(0, 0, 2)","(4, 1, 4, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f8e399559a0>
1537.547630066343,"(0, 2, 1)","(0, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838da490>
1553.0588038688759,"(4, 2, 0)","(1, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90708aa4c0>
1554.0579595969673,"(1, 2, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091297f40>
1554.0579595969673,"(1, 2, 1)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9091297dc0>
1554.2385696705305,"(2, 2, 0)","(0, 0, 4, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9050973d60>
1554.4550550424035,"(2, 2, 0)","(0, 0, 3, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90838f6dc0>
1554.7570908646976,"(4, 2, 0)","(2, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9002b132e0>
1554.7693919572755,"(4, 2, 0)","(1, 0, 1, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9055b2f0a0>
1554.8520660632794,"(0, 2, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9040831790>
1554.8520660632794,"(0, 2, 1)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f904084eee0>
1555.33070356863,"(2, 2, 0)","(0, 0, 2, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f904094c9d0>
1555.8910163515754,"(2, 2, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9083833f10>
1555.8910163515754,"(2, 2, 2)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9040998160>
1556.272119926438,"(2, 2, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f9040998790>
1556.272119926438,"(2, 2, 3)","(0, 0, 0, 14)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7f90409a0820>
