AIC,Params,Seasonal_Params,Model,Ljung-Box p-value,Jarque-Bera p-value
1516.743014477818,"(3, 1, 2)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf661206d0>,0.40848110052854736,2.490465473112864e-05
1516.8429795459178,"(5, 1, 2)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf18bb1b80>,0.7462334760919395,0.000817881078104616
1516.893781327074,"(5, 1, 3)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf19029ee0>,0.7598332164207733,0.0006210259434158471
1516.900664926692,"(5, 1, 0)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf20860760>,0.5526478502416525,1.2201876831137739e-05
1517.4516409687228,"(3, 1, 2)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf6613fd00>,0.5781121980662903,0.0003165424228480411
1517.4950431720658,"(5, 1, 1)","(1, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf87aaad90>,0.7761086706041551,1.8956705384111723e-05
1518.0299385859266,"(5, 1, 3)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf46515580>,0.8401212930813591,0.0001722441460087467
1518.1671011786866,"(7, 1, 0)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf22ff1940>,0.6278554749448835,9.413936096612442e-07
1518.2855449100327,"(7, 1, 1)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf1a517af0>,0.7426386959069176,1.0171871367406533e-06
1518.3983254456539,"(5, 1, 3)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf217b3cd0>,0.5938481772769855,9.424989080972268e-05
1518.555087999126,"(5, 1, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf3382cd00>,0.5764627251978669,2.28342486620731e-06
1518.7941863978685,"(0, 1, 0)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf51b73df0>,0.7891144271277357,0.003275160827103825
1518.8412378244736,"(3, 1, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf859ae880>,0.6529092551836262,7.78210049370635e-06
1519.0044215479775,"(5, 1, 2)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf33918100>,0.8169145431418018,5.620981980458919e-05
1519.205379800934,"(7, 1, 3)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf120a8850>,0.8369441507263852,5.518579289843783e-06
1519.4626526280233,"(5, 1, 1)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf87a89700>,0.5996698332724701,7.70278212289096e-06
1519.5938506679886,"(5, 1, 0)","(1, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf1039be20>,0.32893293290728615,4.348132616404148e-06
1519.8887139390458,"(7, 1, 2)","(0, 0, 0, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf364b9c70>,0.6629660918629005,1.0445907448537434e-06
1519.8950870478725,"(7, 1, 1)","(0, 0, 1, 7)",<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x7fbf23169e50>,0.7626069313451826,1.0617124180092994e-06
